selection_name,layer,k,alpha,control_type,intervention,n,normal_margin_mean,patched_margin_mean,delta_toward_no_mean,delta_toward_no_median,yes_to_no_flips,yes_to_no_flip_rate,patched_no_count,patched_no_rate,normal_yes_rate,num_layers_patched,num_neurons_patched
global_multilayer_ci_top_delta_steer,multi,100,1.0,random_neurons_0,add_CI_D_minus_A_neuron_delta,95,0.7651315789473684,0.8480263157894737,-0.08289473684210526,-0.09375,0,0.0,0,0.0,1.0,5,100
layerwise_ci_top_delta_steer,20,1,1.5,ci_top_neurons,add_CI_D_minus_A_neuron_delta,95,0.7651315789473684,0.8483552631578948,-0.08322368421052631,-0.0625,0,0.0,0,0.0,1.0,1,1
layerwise_ci_top_delta_steer,20,1,3.0,ci_top_neurons,add_CI_D_minus_A_neuron_delta,95,0.7651315789473684,0.8483552631578948,-0.08322368421052631,-0.09375,0,0.0,0,0.0,1.0,1,1
layerwise_ci_top_delta_steer,26,1,1.5,ci_top_neurons,add_CI_D_minus_A_neuron_delta,95,0.7651315789473684,0.8488486842105263,-0.0837171052631579,-0.09375,0,0.0,0,0.0,1.0,1,1
layerwise_ci_top_delta_steer,27,1,2.0,random_neurons_1,add_CI_D_minus_A_neuron_delta,95,0.7651315789473684,0.85,-0.08486842105263158,-0.09375,0,0.0,0,0.0,1.0,1,1
layerwise_ci_top_delta_steer,23,200,2.0,random_neurons_1,add_CI_D_minus_A_neuron_delta,95,0.7651315789473684,0.8506578947368421,-0.08552631578947369,-0.09375,0,0.0,0,0.0,1.0,1,200
layerwise_ci_top_delta_steer,20,200,1.0,random_neurons_2,add_CI_D_minus_A_neuron_delta,95,0.7651315789473684,0.8539473684210527,-0.08881578947368421,-0.09375,0,0.0,0,0.0,1.0,1,200
global_multilayer_ci_top_delta_steer,multi,500,2.0,random_neurons_2,add_CI_D_minus_A_neuron_delta,95,0.7651315789473684,0.8542763157894737,-0.08914473684210526,-0.09375,0,0.0,0,0.0,1.0,5,500
layerwise_ci_top_delta_steer,20,1,2.0,ci_top_neurons,add_CI_D_minus_A_neuron_delta,95,0.7651315789473684,0.8549342105263158,-0.08980263157894737,-0.09375,0,0.0,0,0.0,1.0,1,1
layerwise_ci_top_delta_steer,20,500,0.25,random_neurons_2,add_CI_D_minus_A_neuron_delta,95,0.7651315789473684,0.85625,-0.09111842105263158,-0.09375,0,0.0,0,0.0,1.0,1,500
layerwise_ci_top_delta_steer,27,200,1.5,random_neurons_1,add_CI_D_minus_A_neuron_delta,95,0.7651315789473684,0.8621710526315789,-0.09703947368421052,-0.09375,0,0.0,0,0.0,1.0,1,200
layerwise_ci_top_delta_steer,23,100,1.5,random_neurons_2,add_CI_D_minus_A_neuron_delta,95,0.7651315789473684,0.8648026315789473,-0.09967105263157895,-0.09375,0,0.0,0,0.0,1.0,1,100
layerwise_ci_top_delta_steer,22,200,3.0,random_neurons_1,add_CI_D_minus_A_neuron_delta,95,0.7651315789473684,0.8654605263157895,-0.10032894736842106,-0.09375,0,0.0,0,0.0,1.0,1,200
layerwise_ci_top_delta_steer,22,500,1.0,random_neurons_0,add_CI_D_minus_A_neuron_delta,95,0.7651315789473684,0.8680921052631579,-0.10296052631578947,-0.09375,0,0.0,0,0.0,1.0,1,500
layerwise_ci_top_delta_steer,20,500,3.0,random_neurons_1,add_CI_D_minus_A_neuron_delta,95,0.7651315789473684,0.868421052631579,-0.10328947368421053,-0.09375,0,0.0,0,0.0,1.0,1,500
layerwise_ci_top_delta_steer,26,1,2.0,ci_top_neurons,add_CI_D_minus_A_neuron_delta,95,0.7651315789473684,0.8782894736842105,-0.11315789473684211,-0.125,0,0.0,0,0.0,1.0,1,1
