scenario_id,version,site,layer,cosine_base_ci,base_norm,ci_norm,norm_ratio_ci_over_base
103070,C,purpose_last,6,0.9999608993530273,44.9940185546875,44.998165130615234,1.0000921583815123
103070,C,purpose_last,7,0.9999623894691467,52.96940231323242,53.027950286865234,1.0011053168636224
103070,C,purpose_last,8,0.9999500513076782,58.44640350341797,58.50139236450195,1.0009408425119053
103070,C,purpose_last,9,0.9999322295188904,54.69020462036133,54.739295959472656,1.0008976258079871
103070,C,purpose_last,10,0.9999107122421265,58.08149337768555,58.15315628051758,1.0012338336820308
103070,C,purpose_last,11,0.9999101161956787,66.55897521972656,66.68203735351562,1.0018489186977835
103070,C,purpose_last,12,0.999882698059082,62.415157318115234,62.60540008544922,1.003048021915003
103070,C,purpose_last,13,0.9998697638511658,70.85758209228516,70.88797760009766,1.0004289662011456
103070,C,purpose_last,14,0.9998522400856018,71.63920593261719,71.70198059082031,1.0008762612229702
103070,C,purpose_last,15,0.9998583793640137,83.1937484741211,83.21914672851562,1.0003052904197776
103070,C,purpose_last,16,0.9998310804367065,85.29856872558594,85.33512115478516,1.0004285233591295
103070,C,purpose_last,17,0.999818742275238,94.2934341430664,94.17377471923828,0.9987309888019714
103070,C,purpose_last,18,0.9998323321342468,106.60224914550781,106.25647735595703,0.996756430635166
103070,C,purpose_last,19,0.9997302889823914,111.27007293701172,110.46881103515625,0.9927989451187917
103070,C,purpose_last,20,0.9996970295906067,127.78800201416016,126.76429748535156,0.9919890403428081
103070,C,purpose_last,21,0.9996541738510132,150.25796508789062,148.81900024414062,0.9904233706152729
103070,C,purpose_last,22,0.9995771646499634,165.83082580566406,164.06455993652344,0.9893489894863666
103070,C,purpose_last,23,0.999538779258728,204.87416076660156,202.34373474121094,0.9876488766766769
103070,C,purpose_last,24,0.9994780421257019,253.94036865234375,250.5857391357422,0.9867896958077028
103070,C,purpose_last,25,0.9993455410003662,294.72283935546875,291.4064636230469,0.9887474763079968
103070,C,purpose_last,26,0.9988881349563599,401.8128356933594,397.9005126953125,0.9902633200074461
103070,C,purpose_last,27,0.997501015663147,268.6415100097656,268.5393371582031,0.9996196684140184
103070,C,final,0,0.9999864101409912,10.369555473327637,10.366732597351074,0.9997277727108145
103070,C,final,1,0.9987928867340088,15.106045722961426,15.208361625671387,1.0067731757593212
103070,C,final,2,0.9989174008369446,17.89737319946289,17.844627380371094,0.9970528737092335
103070,C,final,3,0.9984074234962463,18.771936416625977,18.757553100585938,0.9992337862370289
103070,C,final,4,0.9978563785552979,22.273818969726562,22.34539794921875,1.0032135925855137
103070,C,final,5,0.9981538653373718,31.631450653076172,31.975929260253906,1.0108903828330817
103070,C,final,6,0.998212456703186,31.85597038269043,31.96428680419922,1.0034001921839946
103070,C,final,7,0.9979181289672852,33.23785400390625,33.35456466674805,1.0035113778052
